央视,#genre#
浙江卫视BD,http://111.12.102.68:6610/PLTV/77777777/224/3221225695/index.m3u8?
浙江卫视BD,http://39.134.66.66/PLTV/88888888/224/3221225514/index.m3u8
江苏卫视BD,http://39.134.39.39/PLTV/88888888/224/3221226157/index.m3u8
江苏卫视BD,http://111.12.102.68:6610/PLTV/77777777/224/3221225636/index.m3u8?
江苏卫视BD,http://39.134.66.66/PLTV/88888888/224/3221225503/index.m3u8
北京卫视BD,http://117.169.119.199:8080/live/hdbeijingstv/index.m3u8
北京卫视BD,http://111.12.102.68:6610/PLTV/77777777/224/3221225664/index.m3u8?
北京卫视BD,http://111.12.102.68:6610/PLTV/77777777/224/3221225651/index.m3u8?
北京卫视BD,http://39.134.66.66/PLTV/88888888/224/3221225678/index.m3u8
北京冬奥BD,http://111.12.102.68:6610/PLTV/77777777/224/3221225667/index.m3u8?
北京冬奥BD,http://117.169.119.199:8080/live/HD-8000k-1080P-beijingjishi/index.m3u8
天津卫视BD,http://39.134.66.66/PLTV/88888888/224/3221225665/index.m3u8
天津卫视BD,http://111.12.102.68:6610/PLTV/77777777/224/3221225675/index.m3u8?
